,Datetime,Likes_Count,retweet_Count,Tweet Id,Text,Username
33,2021-04-25 18:00:34+00:00,130,13,1386379623466823684,"There are a lot of lists going around: 8 ways of looking at Murakami, 12 ways of looking at Hitchcock. My own contribution might be four ways of watching the MCU. Begin from this position: There are currently 23 films in the MCU &amp; all watched in close succession might wear. (1/?)",joe_hill
34,2021-04-25 17:54:31+00:00,33,0,1386378098959126528,"@Massawyrm I remember watching CLASS OF 1984 as a teenager and feeling it was really jolting and transgressive. No idea how it holds up, though. The Dirty-Harry-Substitute-Teacher genre is an interesting one, though. Remember the Tom Berringer vehicle, THE SUBSTITUTE?",joe_hill
35,2021-04-25 17:53:24+00:00,50,4,1386377821547909121,"If you listen to one song on your iPhone, Apple will automatically generate a kind of endless playlist of stuff on the same wavelength. Why doesn't it offer that feature in the Music app itself? You can make a Genius Playlist, but that isn't really quite the same.",joe_hill
36,2021-04-24 20:12:20+00:00,263,10,1386050393646505984,!!! https://t.co/Iu9fu9C1Ri,joe_hill
37,2021-04-24 15:46:40+00:00,21,0,1385983538495897600,"@AaronMoorhead What a great picture! (I was absorbed by The Endless, as well, when I saw it a couple years back)",joe_hill
38,2021-04-24 01:04:49+00:00,385,24,1385761614998147080,"You saw the #FalconAndWinterSoldierFinale this afternoon, now make it an Anthony Mackie double feature and check out SYNCHRONIC on @netflix. A brilliant, beautiful, knotty work of SF... reminds me of the charge I felt seeing MOON for the first time.",joe_hill
39,2021-04-23 22:21:08+00:00,94,4,1385720421216100353,There's a lot of goodies in the Skelton Crew store. https://t.co/gpbsHfRkF3,joe_hill
40,2021-04-23 21:30:26+00:00,36,1,1385707661006712833,Love this damn song. https://t.co/xfmI3TGqpA,joe_hill
41,2021-04-23 21:28:34+00:00,431,25,1385707190711894018,"I’m not going to claim #FalconAndWinterSoldier is perfect in every way. But it was beautifully written and it had guts: it dared to take on some really difficult ideas about race and history, superheroes and symbols. Looked at as a movie, it’s one of the 6 - 7 best in the MCU.",joe_hill
42,2021-04-23 21:25:20+00:00,9,0,1385706377268637697,@GR_comics Awww...!,joe_hill
